tan,rad,n,a1,midpoint,result
2,2,2,1.0,-0.16,16.09024928307295
2,2,2,1.0,-0.08,7.599243775867381
2,2,2,1.0,0.0,2.9220136104632255
2,2,2,1.0,0.07999999999999999,5.812709596017499
2,2,2,1.0,0.16,2.9922371052324994
2,2,2,2.25,-0.16,11.740029574029641
2,2,2,2.25,-0.08,7.152791226067027
2,2,2,2.25,0.0,4.767308507121206
2,2,2,2.25,0.07999999999999999,6.882865436048175
2,2,2,2.25,0.16,9.018292607997957
2,2,2,3.5,-0.16,10.124859010113816
2,2,2,3.5,-0.08,6.573126066287786
2,2,2,3.5,0.0,4.774149149342534
2,2,2,3.5,0.07999999999999999,6.3028129579837
2,2,2,3.5,0.16,8.629236256347742
2,2,2,4.75,-0.16,8.517922606091542
2,2,2,4.75,-0.08,5.558048330691576
2,2,2,4.75,0.0,4.062575584415235
2,2,2,4.75,0.07999999999999999,5.328024634407475
2,2,2,4.75,0.16,7.245218236604012
2,2,2,6.0,-0.16,7.082269097033633
2,2,2,6.0,-0.08,4.559844287110754
2,2,2,6.0,0.0,3.2771917394986168
2,2,2,6.0,0.07999999999999999,4.3742891530123265
2,2,2,6.0,0.16,6.055606045517721
2,2,10,1.0,-0.16,24.763366993530767
2,2,10,1.0,-0.08,14.808618780775292
2,2,10,1.0,0.0,6.484546724512804
2,2,10,1.0,0.07999999999999999,6.781850864920323
2,2,10,1.0,0.16,3.810682706459158
2,2,10,2.25,-0.16,29.772728571219908
2,2,10,2.25,-0.08,21.61833379910689
2,2,10,2.25,0.0,14.568891250430799
2,2,10,2.25,0.07999999999999999,11.060553757165772
2,2,10,2.25,0.16,6.59404612925604
2,2,10,3.5,-0.16,32.341129184386546
2,2,10,3.5,-0.08,26.03269123904724
2,2,10,3.5,0.0,21.247908177900893
2,2,10,3.5,0.07999999999999999,18.801641213425555
2,2,10,3.5,0.16,9.42091770504943
2,2,10,4.75,-0.16,34.49363711024551
2,2,10,4.75,-0.08,27.81094517562197
2,2,10,4.75,0.0,23.513830301584417
2,2,10,4.75,0.07999999999999999,21.54445464292606
2,2,10,4.75,0.16,12.425548100615067
2,2,10,6.0,-0.16,36.59131959115908
2,2,10,6.0,-0.08,29.02715115892623
2,2,10,6.0,0.0,24.451778516865083
2,2,10,6.0,0.07999999999999999,21.252491824495817
2,2,10,6.0,0.16,13.041770175320934
2,2,20,1.0,-0.16,25.27643939880788
2,2,20,1.0,-0.08,14.78949088250966
2,2,20,1.0,0.0,6.484852073926981
2,2,20,1.0,0.07999999999999999,5.340877618865202
2,2,20,1.0,0.16,4.068296238549847
2,2,20,2.25,-0.16,29.42834195035306
2,2,20,2.25,-0.08,21.615903402317503
2,2,20,2.25,0.0,14.586121992405145
2,2,20,2.25,0.07999999999999999,10.88915153294664
2,2,20,2.25,0.16,5.004296805394808
2,2,20,3.5,-0.16,31.71842407629575
2,2,20,3.5,-0.08,25.881124470240408
2,2,20,3.5,0.0,21.27912762230618
2,2,20,3.5,0.07999999999999999,19.082965557436655
2,2,20,3.5,0.16,9.221735194545664
2,2,20,4.75,-0.16,33.571128869314066
2,2,20,4.75,-0.08,27.54651304834991
2,2,20,4.75,0.0,23.52560198859168
2,2,20,4.75,0.07999999999999999,22.350228860214976
2,2,20,4.75,0.16,12.48256293299199
2,2,20,6.0,-0.16,35.37694026125134
2,2,20,6.0,-0.08,28.648092685334476
2,2,20,6.0,0.0,24.453754800615876
2,2,20,6.0,0.07999999999999999,22.404597208153625
2,2,20,6.0,0.16,13.341418846763665
2,10,2,1.0,-0.16,316.8522591157451
2,10,2,1.0,-0.08,116.31638321870842
2,10,2,1.0,0.0,2.922013610462973
2,10,2,1.0,0.07999999999999999,116.18712939828237
2,10,2,1.0,0.16,84.28394358151333
2,10,2,2.25,-0.16,145.41203394410573
2,10,2,2.25,-0.08,55.4715198673298
2,10,2,2.25,0.0,4.767308507121235
2,10,2,2.25,0.07999999999999999,55.20159407731105
2,10,2,2.25,0.16,144.09940525768198
2,10,2,3.5,-0.16,96.05686181942598
2,10,2,3.5,-0.08,37.63516590709959
2,10,2,3.5,0.0,4.774149149342525
2,10,2,3.5,0.07999999999999999,37.36485279879778
2,10,2,3.5,0.16,94.56123906568259
2,10,2,4.75,-0.16,71.83624046560159
2,10,2,4.75,-0.08,28.445867160763456
2,10,2,4.75,0.0,4.0625755844152325
2,10,2,4.75,0.07999999999999999,28.21584346447987
2,10,2,4.75,0.16,70.56353609611399
2,10,2,6.0,-0.16,57.20927073581238
2,10,2,6.0,-0.08,22.67936752758432
2,10,2,6.0,0.0,3.2771917394986274
2,10,2,6.0,0.07999999999999999,22.49381239348607
2,10,2,6.0,0.16,56.18260768429922
2,10,10,1.0,-0.16,397.84379624922025
2,10,10,1.0,-0.08,158.53432540623947
2,10,10,1.0,0.0,6.484546724512492
2,10,10,1.0,0.07999999999999999,131.38443765255315
2,10,10,1.0,0.16,133.8672458714461
2,10,10,2.25,-0.16,271.7134347521251
2,10,10,2.25,-0.08,113.12599347535807
2,10,10,2.25,0.0,14.568891250430827
2,10,10,2.25,0.07999999999999999,112.21276029146286
2,10,10,2.25,0.16,357.381438129663
2,10,10,3.5,-0.16,240.445400449587
2,10,10,3.5,-0.08,107.54262990219472
2,10,10,3.5,0.0,21.247908177901305
2,10,10,3.5,0.07999999999999999,115.1485112038638
2,10,10,3.5,0.16,274.5523792229287
2,10,10,4.75,-0.16,244.74265609245955
2,10,10,4.75,-0.08,108.85310459327847
2,10,10,4.75,0.0,23.513830301583884
2,10,10,4.75,0.07999999999999999,122.28132914495512
2,10,10,4.75,0.16,314.8399810030307
2,10,10,6.0,-0.16,263.56228273743596
2,10,10,6.0,-0.08,115.3763699388184
2,10,10,6.0,0.0,24.45177851686498
2,10,10,6.0,0.07999999999999999,127.4739887899307
2,10,10,6.0,0.16,330.57418989508795
2,10,20,1.0,-0.16,398.261404897162
2,10,20,1.0,-0.08,155.51885997814702
2,10,20,1.0,0.0,6.484852073934746
2,10,20,1.0,0.07999999999999999,199.4359898052776
2,10,20,1.0,0.16,152.77623745187293
2,10,20,2.25,-0.16,268.9049944563752
2,10,20,2.25,-0.08,112.46817179849933
2,10,20,2.25,0.0,14.586121992405872
2,10,20,2.25,0.07999999999999999,114.1863553543374
2,10,20,2.25,0.16,350.5166482684152
2,10,20,3.5,-0.16,238.4216609687643
2,10,20,3.5,-0.08,106.96269394850007
2,10,20,3.5,0.0,21.279127622306383
2,10,20,3.5,0.07999999999999999,115.66985983352227
2,10,20,3.5,0.16,283.0857659385303
2,10,20,4.75,-0.16,242.84772617487738
2,10,20,4.75,-0.08,108.34370071055919
2,10,20,4.75,0.0,23.52560198859151
2,10,20,4.75,0.07999999999999999,122.16987891390556
2,10,20,4.75,0.16,318.1019846376203
2,10,20,6.0,-0.16,261.75225557073156
2,10,20,6.0,-0.08,114.88872465731711
2,10,20,6.0,0.0,24.453754800614185
2,10,20,6.0,0.07999999999999999,127.20061002879649
2,10,20,6.0,0.16,331.4291353143297
2,15,2,1.0,-0.16,708.4694594187035
2,15,2,1.0,-0.08,257.87515853490777
2,15,2,1.0,0.0,2.922013610464322
2,15,2,1.0,0.07999999999999999,257.74590471448033
2,15,2,1.0,0.16,187.43839248883856
2,15,2,2.25,-0.16,319.4641229676426
2,15,2,2.25,-0.08,118.38653111897422
2,15,2,2.25,0.0,4.767308507121235
2,15,2,2.25,0.07999999999999999,118.11660532895475
2,15,2,2.25,0.16,318.15149428122044
2,15,2,3.5,-0.16,207.94749047738452
2,15,2,3.5,-0.08,78.08053028315675
2,15,2,3.5,0.0,4.774149149342477
2,15,2,3.5,0.07999999999999999,77.81021717485774
2,15,2,3.5,0.16,206.45186772367148
2,15,2,4.75,-0.16,154.28196684517192
2,15,2,4.75,-0.08,58.24771459575279
2,15,2,4.75,0.0,4.0625755844153035
2,15,2,4.75,0.07999999999999999,58.017690899469834
2,15,2,4.75,0.16,153.00926247568427
2,15,2,6.0,-0.16,122.47880411963894
2,15,2,6.0,-0.08,46.27249674695093
2,15,2,6.0,0.0,3.2771917394986274
2,15,2,6.0,0.07999999999999999,46.086941612852975
2,15,2,6.0,0.16,121.45214106812924
2,15,10,1.0,-0.16,883.3666896852545
2,15,10,1.0,-0.08,345.67717257481246
2,15,10,1.0,0.0,6.484546724520137
2,15,10,1.0,0.07999999999999999,288.03149417212643
2,15,10,1.0,0.16,290.8903895404761
2,15,10,2.25,-0.16,586.740395925178
2,15,10,2.25,-0.08,232.27659201214686
2,15,10,2.25,0.0,14.568891250429422
2,15,10,2.25,0.07999999999999999,240.49752870836778
2,15,10,2.25,0.16,794.4593995446342
2,15,10,3.5,-0.16,511.4145036594871
2,15,10,3.5,-0.08,213.67536253650314
2,15,10,3.5,0.0,21.24790817789889
2,15,10,3.5,0.07999999999999999,236.4687597396286
2,15,10,3.5,0.16,603.7011716322977
2,15,10,4.75,-0.16,518.5043995588823
2,15,10,4.75,-0.08,214.3767496683546
2,15,10,4.75,0.0,23.513830301584857
2,15,10,4.75,0.07999999999999999,246.5289612394968
2,15,10,4.75,0.16,682.97612868523
2,15,10,6.0,-0.16,559.0973910008112
2,15,10,6.0,-0.08,227.81024855846894
2,15,10,6.0,0.0,24.451778516865286
2,15,10,6.0,0.07999999999999999,256.02204878324636
2,15,10,6.0,0.16,713.5398572709281
2,15,20,1.0,-0.16,883.7820110638671
2,15,20,1.0,-0.08,338.7602259880844
2,15,20,1.0,0.0,6.484852073915732
2,15,20,1.0,0.07999999999999999,425.47427305451373
2,15,20,1.0,0.16,315.86686471337623
2,15,20,2.25,-0.16,580.7235524069121
2,15,20,2.25,-0.08,230.7653962726839
2,15,20,2.25,0.0,14.586121992406193
2,15,20,2.25,0.07999999999999999,245.44343988871705
2,15,20,2.25,0.16,787.5294279577557
2,15,20,3.5,-0.16,507.5665006724947
2,15,20,3.5,-0.08,212.53765420664615
2,15,20,3.5,0.0,21.27912762230803
2,15,20,3.5,0.07999999999999999,237.91363682328443
2,15,20,3.5,0.16,623.9098385751414
2,15,20,4.75,-0.16,515.3432955831612
2,15,20,4.75,-0.08,213.54837214571754
2,15,20,4.75,0.0,23.525601988591085
2,15,20,4.75,0.07999999999999999,246.61968785445683
2,15,20,4.75,0.16,691.1528892974361
2,15,20,6.0,-0.16,556.5117807132866
2,15,20,6.0,-0.08,227.18121420417546
2,15,20,6.0,0.0,24.453754800615435
2,15,20,6.0,0.07999999999999999,255.84057794557833
2,15,20,6.0,0.16,716.4857602055146
10,2,2,1.0,-0.16,40.044460912728795
10,2,2,1.0,-0.08,32.062625791001174
10,2,2,1.0,0.0,28.821950950365085
10,2,2,1.0,0.07999999999999999,27.708930998301298
10,2,2,1.0,0.16,16.299754488150313
10,2,2,2.25,-0.16,38.651377003946905
10,2,2,2.25,-0.08,31.559064527891938
10,2,2,2.25,0.0,28.821950950365075
10,2,2,2.25,0.07999999999999999,29.927160935216705
10,2,2,2.25,0.16,27.643998015061275
10,2,2,3.5,-0.16,40.37349168154028
10,2,2,3.5,-0.08,32.181561304146626
10,2,2,3.5,0.0,28.821950950365075
10,2,2,3.5,0.07999999999999999,30.54965771147158
10,2,2,3.5,0.16,31.34428787979587
10,2,2,4.75,-0.16,42.46194216035726
10,2,2,4.75,-0.08,32.936478329907594
10,2,2,4.75,0.0,28.821950950365075
10,2,2,4.75,0.07999999999999999,31.304574737232446
10,2,2,4.75,0.16,33.43273835861065
10,2,2,6.0,-0.16,43.82348231398463
10,2,2,6.0,-0.08,33.728270045646546
10,2,2,6.0,0.0,28.821950950365068
10,2,2,6.0,0.07999999999999999,32.09636645297138
10,2,2,6.0,0.16,25.639877963184134
10,2,10,1.0,-0.16,165.61787443967953
10,2,10,1.0,-0.08,132.35165196882573
10,2,10,1.0,0.0,47.42938586131284
10,2,10,1.0,0.07999999999999999,11.304986072689628
10,2,10,1.0,0.16,7.786654485697868
10,2,10,2.25,-0.16,159.19025223201535
10,2,10,2.25,-0.08,148.30610943236852
10,2,10,2.25,0.0,148.44578099560852
10,2,10,2.25,0.07999999999999999,77.95637539008538
10,2,10,2.25,0.16,8.95417142262604
10,2,10,3.5,-0.16,125.82039643122593
10,2,10,3.5,-0.08,111.74931022296299
10,2,10,3.5,0.0,104.042168551129
10,2,10,3.5,0.07999999999999999,106.95791905811018
10,2,10,3.5,0.16,47.60432891387381
10,2,10,4.75,-0.16,108.36355388109537
10,2,10,4.75,-0.08,94.07613461873935
10,2,10,4.75,0.0,85.38970496808948
10,2,10,4.75,0.07999999999999999,84.57707100840511
10,2,10,4.75,0.16,75.9035975206241
10,2,10,6.0,-0.16,98.50034410038015
10,2,10,6.0,-0.08,84.57601006070614
10,2,10,6.0,0.0,76.22410157040626
10,2,10,6.0,0.07999999999999999,75.65081907366725
10,2,10,6.0,0.16,62.979517544548806
10,2,20,1.0,-0.16,206.9913205253697
10,2,20,1.0,-0.08,229.00790296709923
10,2,20,1.0,0.0,90.19147039632968
10,2,20,1.0,0.07999999999999999,6.570311630305502
10,2,20,1.0,0.16,5.266801029898767
10,2,20,2.25,-0.16,323.0139012832887
10,2,20,2.25,-0.08,305.54738182750117
10,2,20,2.25,0.0,310.6906198744371
10,2,20,2.25,0.07999999999999999,104.50888626147531
10,2,20,2.25,0.16,5.048895610865637
10,2,20,3.5,-0.16,243.03298987141105
10,2,20,3.5,-0.08,217.54979592324113
10,2,20,3.5,0.0,203.96164227140642
10,2,20,3.5,0.07999999999999999,211.82250831365874
10,2,20,3.5,0.16,62.2583143606168
10,2,20,4.75,-0.16,198.03244416417613
10,2,20,4.75,-0.08,171.619432477013
10,2,20,4.75,0.0,154.70546939066455
10,2,20,4.75,0.07999999999999999,152.21877558143618
10,2,20,4.75,0.16,105.7955297067301
10,2,20,6.0,-0.16,169.6097214153068
10,2,20,6.0,-0.08,143.91191880997545
10,2,20,6.0,0.0,126.96150670574386
10,2,20,6.0,0.07999999999999999,122.51436670508193
10,2,20,6.0,0.16,91.87886380273821
10,10,2,1.0,-0.16,474.6031254984965
10,10,2,1.0,-0.08,356.800450418487
10,10,2,1.0,0.0,157.2828724915505
10,10,2,1.0,0.07999999999999999,324.6295797804413
10,10,2,1.0,0.16,520.0095874553857
10,10,2,2.25,-0.16,653.9767528080395
10,10,2,2.25,-0.08,477.01907251219205
10,10,2,2.25,0.0,317.9314215349827
10,10,2,2.25,0.07999999999999999,459.0177432503125
10,10,2,2.25,0.16,644.006828623788
10,10,2,3.5,-0.16,734.9757227155028
10,10,2,3.5,-0.08,587.9503999931546
10,10,2,3.5,0.0,427.0362189429559
10,10,2,3.5,0.07999999999999999,563.7715391972639
10,10,2,3.5,0.16,771.8645371152
10,10,2,4.75,-0.16,742.5873816758512
10,10,2,4.75,-0.08,678.6373788467049
10,10,2,4.75,0.0,496.0402432540789
10,10,2,4.75,0.07999999999999999,650.5514988703039
10,10,2,4.75,0.16,795.7955645418286
10,10,2,6.0,-0.16,722.9434804341113
10,10,2,6.0,-0.08,750.7643331415721
10,10,2,6.0,0.0,539.5795373619485
10,10,2,6.0,0.07999999999999999,720.2132511877056
10,10,2,6.0,0.16,761.9009738974794
10,10,10,1.0,-0.16,619.0841748382679
10,10,10,1.0,-0.08,370.2154695193821
10,10,10,1.0,0.0,162.113668112821
10,10,10,1.0,0.07999999999999999,378.75441049405345
10,10,10,1.0,0.16,662.2441579392258
10,10,10,2.25,-0.16,744.3182142804967
10,10,10,2.25,-0.08,540.4583449776712
10,10,10,2.25,0.0,364.2222812607706
10,10,10,2.25,0.07999999999999999,342.25145368188134
10,10,10,2.25,0.16,470.88855064813526
10,10,10,3.5,-0.16,808.5282296096608
10,10,10,3.5,-0.08,650.817280976182
10,10,10,3.5,0.0,531.1977044475218
10,10,10,3.5,0.07999999999999999,549.364008209868
10,10,10,3.5,0.16,544.1526663128649
10,10,10,4.75,-0.16,862.3409277561367
