tan,rad,n,a1,midpoint,result
10,10,10,4.75,-0.08,695.2736293905474
10,10,10,4.75,0.0,587.8457575396079
10,10,10,4.75,0.07999999999999999,671.478692408658
10,10,10,4.75,0.16,802.7854895773712
10,10,10,6.0,-0.16,914.7829897789785
10,10,10,6.0,-0.08,725.6787789731563
10,10,10,6.0,0.0,611.2944629216261
10,10,10,6.0,0.07999999999999999,718.7269678765645
10,10,10,6.0,0.16,911.4139337610205
10,10,20,1.0,-0.16,631.9109849701936
10,10,20,1.0,-0.08,369.7372720627415
10,10,20,1.0,0.0,162.12130184818145
10,10,20,1.0,0.07999999999999999,298.27859596814596
10,10,20,1.0,0.16,688.0658928761211
10,10,20,2.25,-0.16,735.708548758827
10,10,20,2.25,-0.08,540.3975850579392
10,10,20,2.25,0.0,364.6530498101274
10,10,20,2.25,0.07999999999999999,334.52286079832953
10,10,20,2.25,0.16,357.3626910570885
10,10,20,3.5,-0.16,792.9606019073976
10,10,20,3.5,-0.08,647.0281117560158
10,10,20,3.5,0.0,531.9781905576615
10,10,20,3.5,0.07999999999999999,544.665977634667
10,10,20,3.5,0.16,533.3219538407573
10,10,20,4.75,-0.16,839.2782217328554
10,10,20,4.75,-0.08,688.6628262087597
10,10,20,4.75,0.0,588.1400497147853
10,10,20,4.75,0.07999999999999999,664.8106411890155
10,10,20,4.75,0.16,789.9722464718833
10,10,20,6.0,-0.16,884.4235065312871
10,10,20,6.0,-0.08,716.20231713337
10,10,20,6.0,0.0,611.3438700153895
10,10,20,6.0,0.07999999999999999,710.1278667177423
10,10,20,6.0,0.16,892.6411849477382
10,15,2,1.0,-0.16,962.4994876645692
10,15,2,1.0,-0.08,633.7516223206147
10,15,2,1.0,0.0,157.28287249155198
10,15,2,1.0,0.07999999999999999,571.9673927447487
10,15,2,1.0,0.16,959.8481733502827
10,15,2,2.25,-0.16,1172.9182014257312
10,15,2,2.25,-0.08,644.8509544493115
10,15,2,2.25,0.0,317.9314215349831
10,15,2,2.25,0.07999999999999999,626.8496251874298
10,15,2,2.25,0.16,1083.6097808917038
10,15,2,3.5,-0.16,1298.5348837760673
10,15,2,3.5,-0.08,732.660043002947
10,15,2,3.5,0.0,427.03621894295554
10,15,2,3.5,0.07999999999999999,708.4811822070725
10,15,2,3.5,0.16,1172.198498226053
10,15,2,4.75,-0.16,1331.863255810695
10,15,2,4.75,-0.08,824.1895325866423
10,15,2,4.75,0.0,496.04024325407937
10,15,2,4.75,0.07999999999999999,796.1036526102458
10,15,2,4.75,0.16,1279.6169232799577
10,15,2,6.0,-0.16,1320.3334077020436
10,15,2,6.0,-0.08,906.1457787332074
10,15,2,6.0,0.0,539.5795373619486
10,15,2,6.0,0.07999999999999999,875.5946967793433
10,15,2,6.0,0.16,1264.8370754071718
10,15,10,1.0,-0.16,1107.505526920651
10,15,10,1.0,-0.08,557.358316687952
10,15,10,1.0,0.0,162.11366811281607
10,15,10,1.0,0.07999999999999999,610.8002687350062
10,15,10,1.0,0.16,991.3324929238382
10,15,10,2.25,-0.16,1059.3451754535515
10,15,10,2.25,-0.08,659.6089435144582
10,15,10,2.25,0.0,364.2222812607684
10,15,10,2.25,0.07999999999999999,470.5362220987765
10,15,10,2.25,0.16,941.8851967678265
10,15,10,3.5,-0.16,1079.497332819561
10,15,10,3.5,-0.08,756.9500136104907
10,15,10,3.5,0.0,531.197704447519
10,15,10,3.5,0.07999999999999999,670.6842567456296
10,15,10,3.5,0.16,873.3014587222616
10,15,10,4.75,-0.16,1136.1026712225614
10,15,10,4.75,-0.08,800.7972744656222
10,15,10,4.75,0.0,587.8457575396055
10,15,10,4.75,0.07999999999999999,795.7263245032004
10,15,10,4.75,0.16,1170.9216372595754
10,15,10,6.0,-0.16,1210.3180980423544
10,15,10,6.0,-0.08,838.112657592807
10,15,10,6.0,0.0,611.2944629216319
10,15,10,6.0,0.07999999999999999,847.2750278698761
10,15,10,6.0,0.16,1294.3796011368624
10,15,20,1.0,-0.16,1118.9709137434927
10,15,20,1.0,-0.08,552.9786380726766
10,15,20,1.0,0.0,162.1213018481702
10,15,20,1.0,0.07999999999999999,592.8768359958996
10,15,20,1.0,0.16,851.1565201376209
10,15,20,2.25,-0.16,1047.5271067093581
10,15,20,2.25,-0.08,658.6948095321272
10,15,20,2.25,0.0,364.6530498101303
10,15,20,2.25,0.07999999999999999,465.7799453327178
10,15,20,2.25,0.16,799.2594821171652
10,15,20,3.5,-0.16,1062.10544161113
10,15,20,3.5,-0.08,752.6030720141646
10,15,20,3.5,0.0,531.9781905576571
10,15,20,3.5,0.07999999999999999,666.9097546244358
10,15,20,3.5,0.16,874.1460264773596
10,15,20,4.75,-0.16,1111.7737911411418
10,15,20,4.75,-0.08,793.8674976439124
10,15,20,4.75,0.0,588.1400497147863
10,15,20,4.75,0.07999999999999999,789.2604501295629
10,15,20,4.75,0.16,1163.0231511316858
10,15,20,6.0,-0.16,1179.1830316738403
10,15,20,6.0,-0.08,828.494806680205
10,15,20,6.0,0.0,611.3438700153919
10,15,20,6.0,0.07999999999999999,838.7678346345241
10,15,20,6.0,0.16,1277.6978098389168
15,2,2,1.0,-0.16,37.297576638305586
15,2,2,1.0,-0.08,31.069703177995773
15,2,2,1.0,0.0,28.821950950365075
15,2,2,1.0,0.07999999999999999,26.81530064659642
15,2,2,1.0,0.16,22.84284570246007
15,2,2,2.25,-0.16,37.903092378519624
15,2,2,2.25,-0.08,31.288580353342198
15,2,2,2.25,0.0,28.821950950365075
15,2,2,2.25,0.07999999999999999,29.656676760666976
15,2,2,2.25,0.16,26.970541852176716
15,2,2,3.5,-0.16,39.89314082378821
15,2,2,3.5,-0.08,32.00792776840592
15,2,2,3.5,0.0,28.821950950365068
15,2,2,3.5,0.07999999999999999,30.37602417573086
15,2,2,3.5,0.16,30.86393702204372
15,2,2,4.75,-0.16,42.046005180714
15,2,2,4.75,-0.08,32.78612862769465
15,2,2,4.75,0.0,28.821950950365075
15,2,2,4.75,0.07999999999999999,31.154225035019493
15,2,2,4.75,0.16,33.01680137896739
15,2,2,6.0,-0.16,44.244208421139795
15,2,2,6.0,-0.08,33.580718238084714
15,2,2,6.0,0.0,28.821950950365068
15,2,2,6.0,0.07999999999999999,31.948814645409538
15,2,2,6.0,0.16,26.964425436687247
15,2,10,1.0,-0.16,210.0450203411883
15,2,10,1.0,-0.08,130.4074942453851
15,2,10,1.0,0.0,47.429385861312355
15,2,10,1.0,0.07999999999999999,11.104054027517313
15,2,10,1.0,0.16,8.098008530372908
15,2,10,2.25,-0.16,157.4156072696812
15,2,10,2.25,-0.08,147.60637361493988
15,2,10,2.25,0.0,148.44578099560877
15,2,10,2.25,0.07999999999999999,77.22692217618676
15,2,10,2.25,0.16,9.089040202271878
15,2,10,3.5,-0.16,124.81093371519844
15,2,10,3.5,-0.08,111.37894953195723
15,2,10,3.5,0.0,104.04216855112851
15,2,10,3.5,0.07999999999999999,106.45223659375118
15,2,10,3.5,0.16,57.96987471252103
15,2,10,4.75,-0.16,107.55478457754607
15,2,10,4.75,-0.08,93.78880879597023
15,2,10,4.75,0.0,85.38970496808905
15,2,10,4.75,0.07999999999999999,84.25276638119283
15,2,10,4.75,0.16,87.08048842532018
15,2,10,6.0,-0.16,97.74793414002399
15,2,10,6.0,-0.08,84.31158837228179
15,2,10,6.0,0.0,76.22410157040551
15,2,10,6.0,0.07999999999999999,75.37197366142243
15,2,10,6.0,0.16,72.58435950543223
15,2,20,1.0,-0.16,352.5282399753395
15,2,20,1.0,-0.08,263.94784680918843
15,2,20,1.0,0.0,90.1914703963324
15,2,20,1.0,0.07999999999999999,6.618956575323609
15,2,20,1.0,0.16,5.311310735772654
15,2,20,2.25,-0.16,319.40549052367635
15,2,20,2.25,-0.08,304.11797083522004
15,2,20,2.25,0.0,310.6906198744395
15,2,20,2.25,0.07999999999999999,146.7260967682733
15,2,20,2.25,0.16,5.050363982885028
15,2,20,3.5,-0.16,241.04945221924726
15,2,20,3.5,-0.08,216.82832028810373
15,2,20,3.5,0.0,203.96164227140682
15,2,20,3.5,0.07999999999999999,210.80131245641104
15,2,20,3.5,0.16,84.98456498631161
15,2,20,4.75,-0.16,196.50968368465203
15,2,20,4.75,-0.08,171.09138695405724
15,2,20,4.75,0.0,154.70546939066736
15,2,20,4.75,0.07999999999999999,151.62714622023051
15,2,20,4.75,0.16,145.9528660952463
15,2,20,6.0,-0.16,168.25908528701277
15,2,20,6.0,-0.08,143.45587054138358
15,2,20,6.0,0.0,126.96150670574876
15,2,20,6.0,0.07999999999999999,122.05605281188959
15,2,20,6.0,0.16,115.73689223004028
15,10,2,1.0,-0.16,571.2898552996396
15,10,2,1.0,-0.08,516.5983907316567
15,10,2,1.0,0.0,353.8864631059876
15,10,2,1.0,0.07999999999999999,481.9460819333954
15,10,2,1.0,0.16,719.269351258109
15,10,2,2.25,-0.16,865.8438822928013
15,10,2,2.25,-0.08,905.4610312153137
15,10,2,2.25,0.0,715.3456984537114
15,10,2,2.25,0.07999999999999999,864.9580403760834
15,10,2,2.25,0.16,997.5225044890046
15,10,2,3.5,-0.16,940.0506148523712
15,10,2,3.5,-0.08,883.5422913656894
15,10,2,3.5,0.0,720.5487737591269
15,10,2,3.5,0.07999999999999999,842.7447015488221
15,10,2,3.5,0.16,1002.1668372721282
15,10,2,4.75,-0.16,916.2239914733824
15,10,2,4.75,-0.08,891.8210727545809
15,10,2,4.75,0.0,720.5487737591269
15,10,2,4.75,0.07999999999999999,851.0234829377038
15,10,2,4.75,0.16,1025.069784702946
15,10,2,6.0,-0.16,869.7145288453266
15,10,2,6.0,-0.08,910.3428235818006
15,10,2,6.0,0.0,720.5487737591269
15,10,2,6.0,0.07999999999999999,869.5452337649224
15,10,2,6.0,0.16,1057.589337951585
15,10,10,1.0,-0.16,893.3011648825706
15,10,10,1.0,-0.08,645.8419592500379
15,10,10,1.0,0.0,364.7557532538469
15,10,10,1.0,0.07999999999999999,374.0487323706735
15,10,10,1.0,0.16,742.7312940814121
15,10,10,2.25,-0.16,1359.6890209580636
15,10,10,2.25,-0.08,1096.8806776629774
15,10,10,2.25,0.0,819.5001328367322
15,10,10,2.25,0.07999999999999999,641.7810023673178
15,10,10,2.25,0.16,520.5551279204295
15,10,10,3.5,-0.16,1548.2194134118447
15,10,10,3.5,-0.08,1358.206149562099
15,10,10,3.5,0.0,1195.194835006923
15,10,10,3.5,0.07999999999999999,1114.7487699364278
15,10,10,3.5,0.16,895.1947067945524
15,10,10,4.75,-0.16,1666.5053439848816
15,10,10,4.75,-0.08,1458.8420210536653
15,10,10,4.75,0.0,1322.652954464119
15,10,10,4.75,0.07999999999999999,1386.579425824943
15,10,10,4.75,0.16,1438.1312038668748
15,10,10,6.0,-0.16,1762.7266187393184
15,10,10,6.0,-0.08,1520.3433740699518
15,10,10,6.0,0.0,1375.41254157366
15,10,10,6.0,0.07999999999999999,1488.5876177289476
15,10,10,6.0,0.16,1507.3825183787433
15,10,20,1.0,-0.16,928.633499269795
15,10,20,1.0,-0.08,648.667496131211
15,10,20,1.0,0.0,364.77292915840127
15,10,20,1.0,0.07999999999999999,310.002113105604
15,10,20,1.0,0.16,633.955508803126
15,10,20,2.25,-0.16,1343.5256767568305
15,10,20,2.25,-0.08,1097.5973419061716
15,10,20,2.25,0.0,820.4693620727929
15,10,20,2.25,0.07999999999999999,621.4193522618693
15,10,20,2.25,0.16,358.9349551454045
15,10,20,3.5,-0.16,1515.0165145878914
15,10,20,3.5,-0.08,1350.2382911928773
15,10,20,3.5,0.0,1196.9509287547412
15,10,20,3.5,0.07999999999999999,1103.2546726882347
15,10,20,3.5,0.16,859.1503235051111
15,10,20,4.75,-0.16,1615.8804294906672
15,10,20,4.75,-0.08,1444.2866875345262
15,10,20,4.75,0.0,1323.315111858257
15,10,20,4.75,0.07999999999999999,1371.3741337347174
15,10,20,4.75,0.16,1404.3866499019027
15,10,20,6.0,-0.16,1695.1933645528684
15,10,20,6.0,-0.08,1499.162724003234
15,10,20,6.0,0.0,1375.5237075346336
15,10,20,6.0,0.07999999999999999,1469.1477321981542
15,10,20,6.0,0.16,1612.7503119738947
15,15,2,1.0,-0.16,1067.8570323716176
15,15,2,1.0,-0.08,802.8010134415974
15,15,2,1.0,0.0,353.88646310598904
15,15,2,1.0,0.07999999999999999,730.4165545059859
15,15,2,1.0,0.16,1170.021571774617
15,15,2,2.25,-0.16,1471.4476938180894
15,15,2,2.25,-0.08,1073.2929131524324
15,15,2,2.25,0.0,715.3456984537114
15,15,2,2.25,0.07999999999999999,1032.7899223132024
15,15,2,2.25,0.16,1449.0153644035267
15,15,2,3.5,-0.16,1653.6953761098812
15,15,2,3.5,-0.08,1322.8883999845987
15,15,2,3.5,0.0,960.8314926216505
15,15,2,3.5,0.07999999999999999,1268.4859631938427
15,15,2,3.5,0.16,1736.6952085092037
15,15,2,4.75,-0.16,1670.821608770665
15,15,2,4.75,-0.08,1526.9341024050857
15,15,2,4.75,0.0,1116.0905473216785
15,15,2,4.75,0.07999999999999999,1463.7408724581835
15,15,2,4.75,0.16,1790.5400202191145
15,15,2,6.0,-0.16,1626.6228309767505
15,15,2,6.0,-0.08,1689.2197495685368
15,15,2,6.0,0.0,1214.0539590643841
15,15,2,6.0,0.07999999999999999,1620.4798151723376
15,15,2,6.0,0.16,1714.2771912693288
15,15,10,1.0,-0.16,1392.9393933861015
15,15,10,1.0,-0.08,832.984806418601
15,15,10,1.0,0.0,364.75575325384375
15,15,10,1.0,0.07999999999999999,852.1974236116529
15,15,10,1.0,0.16,1490.049355363257
15,15,10,2.25,-0.16,1674.7159821311188
15,15,10,2.25,-0.08,1216.0312761997664
15,15,10,2.25,0.0,819.5001328367327
15,15,10,2.25,0.07999999999999999,770.0657707842163
15,15,10,2.25,0.16,1059.499238958323
15,15,10,3.5,-0.16,1819.1885166217462
15,15,10,3.5,-0.08,1464.3388821964109
15,15,10,3.5,0.0,1195.1948350069201
15,15,10,3.5,0.07999999999999999,1236.0690184721918
15,15,10,3.5,0.16,1224.3434992039474
15,15,10,4.75,-0.16,1940.2670874513058
15,15,10,4.75,-0.08,1564.3656661287314
15,15,10,4.75,0.0,1322.6529544641203
15,15,10,4.75,0.07999999999999999,1510.8270579194761
15,15,10,4.75,0.16,1806.2673515490833
15,15,10,6.0,-0.16,2058.2617270026935
15,15,10,6.0,-0.08,1632.777252689602
15,15,10,6.0,0.0,1375.4125415736582
15,15,10,6.0,0.07999999999999999,1617.1356777222634
15,15,10,6.0,0.16,2050.681350962305
15,15,20,1.0,-0.16,1421.7997161829435
15,15,20,1.0,-0.08,831.9088621411463
15,15,20,1.0,0.0,364.77292915839627
15,15,20,1.0,0.07999999999999999,671.1268409285107
15,15,20,1.0,0.16,1548.1482589712703
15,15,20,2.25,-0.16,1655.3442347073699
15,15,20,2.25,-0.08,1215.8945663803675
15,15,20,2.25,0.0,820.4693620727971
15,15,20,2.25,0.07999999999999999,752.676436796254
15,15,20,2.25,0.16,804.0660548784613
15,15,20,3.5,-0.16,1784.1613542916425
15,15,20,3.5,-0.08,1455.8132514510064
15,15,20,3.5,0.0,1196.9509287547282
15,15,20,3.5,0.07999999999999999,1225.4984496779891
15,15,20,3.5,0.16,1199.9743961417191
15,15,20,4.75,-0.16,1888.3759988989184
15,15,20,4.75,-0.08,1549.491358969694
15,15,20,4.75,0.0,1323.3151118582764
15,15,20,4.75,0.07999999999999999,1495.8239426752575
15,15,20,4.75,0.16,1777.4375545617172
15,15,20,6.0,-0.16,1989.9528896953907
15,15,20,6.0,-0.08,1611.4552135500612
15,15,20,6.0,0.0,1375.5237075346233
15,15,20,6.0,0.07999999999999999,1597.7877001149166
15,15,20,6.0,0.16,2008.4426661323955
